記錄時間：2015-01-06 19:32:38,249 線程ID:[1] 日誌級別：INFO  - 日誌描述：邮件接收服务---开始接收
記錄時間：2015-01-06 19:34:15,977 線程ID:[1] 日誌級別：INFO  - 日誌描述：邮件接收服务---开始接收
記錄時間：2015-01-06 19:35:49,896 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
記錄時間：2015-01-06 19:37:01,421 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
記錄時間：2015-01-06 19:45:07,045 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，未将对象引用设置到对象的实例。
記錄時間：2015-01-06 19:46:46,054 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，未将对象引用设置到对象的实例。
記錄時間：2015-01-06 19:51:03,847 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
記錄時間：2015-01-06 19:55:57,520 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
記錄時間：2015-01-06 19:57:47,305 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，未将对象引用设置到对象的实例。
記錄時間：2015-01-06 20:00:11,905 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
記錄時間：2015-01-06 20:01:24,394 線程ID:[1] 日誌級別：ERROR - 日誌描述：异常信息，无法从传输连接中读取数据: 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。。
